,Nama Kabupaten/Kota,Total Sampah
0,KABUPATEN BOGOR,13113.490000000002
1,KABUPATEN SUKABUMI,4038.19
2,KABUPATEN CIANJUR,6497.919999999999
3,KABUPATEN BANDUNG,11934.04
4,KABUPATEN GARUT,4484.29
5,KABUPATEN TASIKMALAYA,3531.33
6,KABUPATEN CIAMIS,2329.72
7,KABUPATEN KUNINGAN,2486.63
8,KABUPATEN CIREBON,3205.17
9,KABUPATEN MAJALENGKA,2593.39
10,KABUPATEN SUMEDANG,2532.71
11,KABUPATEN INDRAMAYU,5383.18
12,KABUPATEN SUBANG,4735.530000000001
13,KABUPATEN PURWAKARTA,2262.9
14,KABUPATEN KARAWANG,5997.44
15,KABUPATEN BEKASI,11328.27
16,KABUPATEN BANDUNG BARAT,4972.370000000001
17,KABUPATEN PANGANDARAN,1277.55
18,KOTA BOGOR,5952.47
19,KOTA SUKABUMI,1833.7299999999998
20,KOTA BANDUNG,14521.779999999999
21,KOTA CIREBON,1887.57
22,KOTA BEKASI,15504.310000000001
23,KOTA DEPOK,12209.61
24,KOTA CIMAHI,3112.35
25,KOTA TASIKMALAYA,2754.7799999999997
26,KOTA BANJAR,758.93
